pmid	disorder	verb
27354958	schizophrenia	displayed
25598502	schizophrenia	using
29407465	dementia	measured
30099076	schizophrenia	including
21350486	depressive disorders	control
28338738	schizophrenia	come
28338738	schizophrenia	showed
28322246	schizophrenia	using
2035108	dementia	reflects
31703585	rem sleep behaviour disorder	sleep
29462110	schizophrenia	growing
27138429	cocaine dependence	report
28539393	schizophrenia	suggest
12235302	frontotemporal dementia	changing
33247023	generalised anxiety disorder	identify
31267957	autism spectrum disorder	determine
16611092	schizophrenia	studies
26510167	schizophrenia	show
19019199	panic disorder	impaired
27302677	schizophrenia	use
14598572	dementia	been
28245977	panic disorder	considering
25080472	dementia	scale
30008825	dementia	use
20183548	frontotemporal dementia	suggests
10199613	schizophrenia	stems
29095852	schizophrenia	been
29095852	schizophrenia	provide
23756741	obsessive-compulsive disorder	reports
3178178	dementia	related
16802281	dementia	had
30611286	dementia	mean
7989290	dementia	studies
15457142	dissociative amnesia	mean
31126998	attention deficit hyperactivity disorder	behaving
30421579	neurodevelopmental disorders	lies
18603414	schizophrenia	sight
14674880	schizophrenia	present
16510227	obsessive-compulsive disorder	order
8063505	schizophrenia	set
32793004	schizophrenia	studies
30790738	obsessive-compulsive disorder	approved
30790738	obsessive-compulsive disorder	passing
18500636	schizophrenia	seeking
25725380	dementia	changes
29445770	impulse control disorders	control
26082469	dementia	order
18316676	social anxiety disorder	samples
24632470	schizophrenia	suggest
24899715	schizophrenia	contributing
23250962	dementia	controls
27683902	obsessive-compulsive disorder	led
23384525	schizophrenia	showed
10473933	delirium	play
10473933	delirium	sleep
28578921	schizophrenia	ground
10435605	dementia	scale
23567425	dementia	formed
29939407	dementia	observed
28735695	autism spectrum disorder	order
10978690	developmental language disorder	using
18577283	dementia	including
18761140	frontotemporal dementia	repeat
27036121	dementia	present
26214708	depressive disorders	understanding
21978081	delirium	showed
21882450	dementia	include
32113967	neurodevelopmental disorders	support
31859230	dementia	competing
6136014	schizophrenia	used
25273996	frontotemporal dementia	contribute
18445270	schizophrenia	connects
27638450	autism spectrum disorder	recognized
14978586	panic disorder	reviews
28533418	schizophrenia	types
23069351	schizophrenia	deleted
21920503	obsessive-compulsive disorder	ground
23919443	schizophrenia	been
26879047	nicotine dependence	found
26879047	nicotine dependence	related
11439759	autism spectrum disorder	finding
20170045	schizophrenia	present
30003029	schizophrenia	hearing
8946433	schizophrenia	been
8946433	schizophrenia	rent
28710677	schizophrenia	growing
28710677	schizophrenia	optimized
28710677	schizophrenia	suggest
15033228	dementia	using
10884061	schizophrenia	connected
27031465	dementia	begins
24040806	mood disorders	rent
23062754	intellectual disability	type
31309907	dementia	state
11166522	schizophrenia	use
31915061	dementia	suggesting
25684539	schizophrenia	changes
30683708	dementia	observed
22333920	dementia	ring
16697048	schizophrenia	orders
27432231	dementia	known
25578289	dementia	type
28695822	autism spectrum disorder	studies
6274989	catatonia	been
21204326	dementia	resting
26335733	autism spectrum disorder	order
20031197	autism spectrum disorder	order
23543128	nicotine dependence	found
18227083	schizophrenia	review
11089508	dementia	present
32719466	schizophrenia	measures
32719466	schizophrenia	show
10653314	mood disorders	rise
21963442	mood disorders	orders
29018317	autism spectrum disorder	test
21829904	dementia	support
15834018	frontotemporal dementia	ground
11326296	schizophrenia	presents
27836006	delirium	followed
31055129	schizophrenia	orders
15169688	schizophrenia	suggests
30721717	dementia	become
24107861	dementia	determine
24290886	schizophrenia	related
23140671	dementia	stress
32123050	dementia	determine
32123050	dementia	determined
32123050	dementia	led
32123050	dementia	scans
21440632	schizophrenia	eat
18704495	mood disorders	cause
24074621	schizophrenia	lead
28323290	delirium	ache
28323290	delirium	use
1131070	pica	studied
29753752	schizophrenia	implicates
17052898	schizophrenia	reports
27573876	alcohol dependence	found
31223386	dementia	report
32928362	schizophrenia	used
32928362	schizophrenia	decrease
32928362	schizophrenia	span
22674669	autism spectrum disorder	order
20860567	dementia	divided
20860567	dementia	order
20158934	schizophrenia	stress
28651857	schizophrenia	working
28651857	schizophrenia	sample
29559372	schizophrenia	increased
28281921	dissociative amnesia	being
12058087	dementia	matched
29751542	depressive disorders	suggest
20800990	autism spectrum disorder	order
28033259	obsessive-compulsive disorder	scale
27423630	autism spectrum disorder	order
33244959	alcohol dependence	shown
28798667	schizophrenia	covered
22986004	schizophrenia	stress
29681406	mood disorders	sought
25591475	schizophrenia	stem
2879319	dementia	changes
22377782	dementia	mean
23904672	narcolepsy	caused
26921048	schizophrenia	indicated
24291545	schizophrenia	thought
24568730	dementia	present
28755877	schizophrenia	using
28755877	schizophrenia	present
24531157	frontotemporal dementia	used
28516224	schizophrenia	orders
28516224	schizophrenia	review
15036385	schizophrenia	been
28258683	dementia	progressing
31156472	delirium	showed
21147519	schizophrenia	reported
25849592	schizophrenia	orders
19028423	schizophrenia	matter
19028423	schizophrenia	avoid
33348363	dementia	suggested
29656245	dementia	measured
29547067	dementia	viewing
27506666	intellectual disability	stem
19671904	dementia	adjusted
21689907	schizophrenia	studies
21689907	schizophrenia	implicate
25919332	hypochondriasis	suggests
12037191	narcolepsy	containing
7855174	schizophrenia	divided
15627854	schizophrenia	ground
28823626	schizophrenia	present
28823626	schizophrenia	obtained
21641775	schizophrenia	compared
23938342	impulse control disorders	control
30385192	autism spectrum disorder	order
2669836	schizophrenia	stem
27628528	alcohol dependence	studies
23442226	impulse control disorders	been
20616040	dementia	goes
32632709	autism spectrum disorder	brings
17188464	schizophrenia	found
23942847	neurodevelopmental disorders	been
28978667	autism spectrum disorder	appears
30281090	schizophrenia	explore
29213090	schizophrenia	thought
15569907	schizophrenia	develop
21357880	schizophrenia	spread
26492987	schizophrenia	ground
25518957	frontotemporal dementia	presenting
24447405	nicotine dependence	used
30635491	dementia	showed
30635491	dementia	controlling
29221791	gambling disorder	conducted
10506305	schizophrenia	improves
29527474	schizophrenia	provide
15090653	dementia	damage
15090653	dementia	drawing
20483461	schizophrenia	control
33300151	dementia	determine
16581031	schizophrenia	tested
25012223	dementia	try
18423591	schizophrenia	reviewed
260709	kleptomania	stated
24480473	depressive disorders	stress
31808989	dementia	state
20161060	autism spectrum disorder	order
24275514	catatonia	order
11588613	schizophrenia	showed
31798526	frontotemporal dementia	copy
11909909	dementia	type
11909909	dementia	increased
11909909	dementia	detect
19003868	schizophrenia	been
19003868	schizophrenia	used
19003868	schizophrenia	work
21418522	dementia	been
30776649	dementia	rains
22160550	dementia	studies
28857270	frontotemporal dementia	differed
28216393	dementia	had
19874870	mood disorders	work
30170282	panic disorder	determined
8270929	schizophrenia	been
30430717	schizophrenia	contribute
10892306	dementia	matter
26903271	schizophrenia	cross
26903271	schizophrenia	provide
28301102	autism spectrum disorder	used
23137805	schizophrenia	found
20129934	narcolepsy	sleep
23324649	schizophrenia	thought
27514985	attention deficit hyperactivity disorder	recognized
32291962	delirium	changes
18703290	dementia	ring
15853614	schizophrenia	question
31205124	obsessive-compulsive disorder	forms
21266125	schizophrenia	ground
23285275	nicotine dependence	measured
15851728	frontotemporal dementia	ground
31988435	schizophrenia	been
25923998	schizophrenia	ground
30723982	schizophrenia	expressing
27251620	schizophrenia	led
32710335	schizophrenia	participated
11180501	opioid withdrawal	try
32416724	rem sleep behaviour disorder	sleep
19744527	schizophrenia	found
29348192	attention deficit hyperactivity disorder	guided
30320954	dementia	living
26848926	schizophrenia	add
10896690	dementia	reflecting
23844175	schizophrenia	showed
23844175	schizophrenia	suggests
19666045	catatonia	produced
19524554	schizophrenia	identified
9675510	schizophrenia	allow
16272077	schizophrenia	reports
11166516	schizophrenia	present
9584871	dementia	relates
22256609	schizophrenia	suggest
19452521	schizophrenia	considered
28856896	gambling disorder	ground
28867767	autism spectrum disorder	order
15337650	schizophrenia	suggest
23195114	obsessive-compulsive disorder	search
30789229	restless legs syndrome	value
24594708	mood disorders	been
24424794	depressive disorders	need
26637448	schizophrenia	been
11738541	schizophrenia	suggest
24725220	schizophrenia	act
24888524	schizophrenia	induce
20956979	schizophrenia	explored
21999930	impulse control disorders	control
16563623	nicotine withdrawal	signalling
29105239	schizophrenia	frame
23010798	schizophrenia	studies
17339518	schizophrenia	been
22809741	obsessive-compulsive disorder	order
15496939	schizophrenia	increased
18668151	depressive disorders	orders
20083395	schizophrenia	suggest
28625273	dementia	agree
28625273	dementia	presented
28625273	dementia	work
24155293	schizophrenia	been
30089910	autism spectrum disorder	order
30089910	autism spectrum disorder	use
14615689	schizophrenia	converge
14615689	schizophrenia	remains
29393203	dementia	controls
24676388	schizophrenia	taken
24844729	frontotemporal dementia	work
24844729	frontotemporal dementia	present
24844729	dementia	related
28007991	rem sleep behaviour disorder	suggest
28007991	rem sleep behaviour disorder	present
23291154	schizophrenia	present
26709994	obsessive-compulsive disorder	applied
30019362	gambling disorder	change
18997158	schizophrenia	conclude
26071442	dementia	ground
14504772	schizophrenia	thought
31400086	intellectual disability	ground
11001597	schizophrenia	studies
26819283	schizophrenia	get
12784101	schizophrenia	induce
22737116	schizophrenia	proposed
20113607	attention deficit hyperactivity disorder	order
31816026	dementia	expressed
31321407	frontotemporal dementia	impaired
30190706	mood disorders	order
27511183	dementia	test
27511183	dementia	follow
17562694	schizophrenia	been
17562694	schizophrenia	compelling
17562694	schizophrenia	seems
32054675	mood disorders	stress
26253956	schizophrenia	displayed
9463841	schizophrenia	treated
17671874	schizophrenia	described
23648137	schizophrenia	studies
17319222	dementia	presented
26559218	narcolepsy	contributed
18596548	dementia	sleep
9869335	dementia	orders
31161372	schizophrenia	existing
26235681	schizophrenia	used
19506072	dementia	used
27640073	dementia	using
33125429	dementia	had
16061770	hypochondriasis	contrast
32188967	dementia	shed
32255521	delirium	using
32255521	delirium	points
23756377	schizophrenia	lies
21432611	attention deficit hyperactivity disorder	order
27477243	schizophrenia	mixed
11145458	dementia	indicates
31332372	autism spectrum disorder	order
27622137	schizophrenia	present
27622137	schizophrenia	present
27622137	schizophrenia	suggest
19145222	schizophrenia	reduced
20519061	mood disorders	use
7701274	schizophrenia	proposed
29866443	rem sleep behaviour disorder	compared
3574657	schizophrenia	impaired
15124027	schizophrenia	found
15124027	schizophrenia	observed
15124027	schizophrenia	indicate
28741680	autism spectrum disorder	rent
26119240	dementia	compared
23882183	schizophrenia	taken
20003629	dementia	selected
15329292	schizophrenia	speed
15329292	schizophrenia	appear
32853044	attention deficit hyperactivity disorder	order
21255611	alcohol dependence	increasing
20146190	obsessive-compulsive disorder	show
24144956	schizophrenia	explore
24144956	schizophrenia	suggests
18395761	dementia	attracted
18395761	dementia	reflect
17524434	schizophrenia	indicate
19710391	pica	rent
31420880	dementia	considered
15288711	schizophrenia	rest
29940238	schizophrenia	describe
31132785	mood disorders	used
30983960	schizophrenia	derived
30983960	schizophrenia	mind
17697420	schizophrenia	extend
22289198	mood disorders	expressed
21547982	obsessive-compulsive disorder	face
29488894	schizophrenia	search
17447423	rem sleep behaviour disorder	include
27720388	schizophrenia	supported
24755994	nicotine withdrawal	studies
29477413	schizophrenia	studying
15102120	schizophrenia	studies
23558591	schizophrenia	led
20631994	schizophrenia	studies
18327742	dementia	report
18327742	dementia	cause
15081794	mood disorders	promising
31843545	schizophrenia	seen
31365642	dementia	admitted
30880655	gambling disorder	type
30300752	schizophrenia	type
33008536	mood disorders	integrates
29355822	autism spectrum disorder	find
11532254	narcolepsy	present
26308966	schizophrenia	use
26308966	schizophrenia	had
24455473	schizophrenia	decreased
30176006	schizophrenia	rains
25155879	schizophrenia	led
28743598	autism spectrum disorder	order
26590368	schizophrenia	identified
18061401	schizophrenia	been
27044008	schizophrenia	matched
1486099	schizophrenia	seems
23628212	schizophrenia	implicated
22216833	intellectual disability	including
27683483	intellectual disability	follow
33324941	delirium	marked
24921969	dementia	mean
28736332	panic attack	been
28736332	panic attack	suggest
18194832	frontotemporal dementia	sight
31774731	mood disorders	compared
23057627	autism spectrum disorder	scale
26633592	dementia	using
7644044	dementia	determine
10435405	schizophrenia	proposed
29684768	schizophrenia	presents
11849763	schizophrenia	transfer
20699105	autism spectrum disorder	order
32700142	schizophrenia	been
27592563	schizophrenia	present
10433321	dementia	suffering
32679312	schizophrenia	been
16805929	schizophrenia	ground
20855050	depressive disorders	studies
19940844	trichotillomania	stand
32320748	narcolepsy	ground
24657561	pica	challenged
11856665	schizophrenia	set
16408518	dementia	ring
18514376	schizophrenia	reported
27779623	neurodevelopmental disorders	orders
31301757	schizophrenia	ground
29436490	impulse control disorders	improving
29423817	schizophrenia	produces
26898776	schizophrenia	types
27412235	dementia	acts
18332680	schizophrenia	enter
27484312	frontotemporal dementia	work
21835091	schizophrenia	compared
21835091	schizophrenia	showed
20654653	obsessive-compulsive disorder	signal
10697060	dementia	come
19414043	schizophrenia	studies
16237129	dementia	suggesting
15548207	schizophrenia	changes
30109024	schizophrenia	dance
15336512	schizophrenia	explore
22481369	dementia	following
21244421	neurodevelopmental disorders	propose
9613625	schizophrenia	review
20888326	schizophrenia	been
28646852	schizophrenia	show
8593585	dementia	order
31605539	delirium	related
20178604	dementia	studies
17022955	schizophrenia	search
20927045	schizophrenia	forms
21831360	schizophrenia	searched
31551426	schizophrenia	present
21144498	schizophrenia	compared
21144498	schizophrenia	showing
12580700	delirium	cure
15683951	dementia	last
28474150	dementia	state
30416106	dementia	damage
26810632	dementia	increased
16216946	dementia	come
14502092	panic attack	been
30886240	alcohol withdrawal	ring
18374843	social anxiety disorder	studies
24904322	schizophrenia	impaired
29900415	obsessive-compulsive disorder	present
29900415	obsessive-compulsive disorder	suggest
23910899	schizophrenia	working
25283181	schizophrenia	understanding
9809105	dementia	causes
28809400	schizophrenia	met
32801201	dementia	state
29738855	dementia	regarded
28453475	dementia	had
23513013	schizophrenia	remain
28754123	schizophrenia	formed
23117721	dementia	using
26027781	schizophrenia	present
23218606	frontotemporal dementia	ground
18461541	schizophrenia	thought
22512261	alcohol dependence	been
28337409	frontotemporal dementia	matter
27915379	anorexia nervosa	called
29501387	schizophrenia	presents
29501387	schizophrenia	controls
10893731	dementia	occurred
26031760	dementia	sit
18590384	anorexia nervosa	rent
12777344	schizophrenia	increased
8742456	schizophrenia	had
24685637	dementia	used
28489419	dementia	used
32397931	dementia	set
21256966	schizophrenia	found
21256966	schizophrenia	suggest
21489391	autism spectrum disorder	review
1418364	dementia	described
12111475	schizophrenia	report
16423334	cocaine withdrawal	increased
26681495	schizophrenia	suggest
29754003	panic disorder	ground
31612904	dementia	act
21276242	schizophrenia	observed
28225048	dementia	stress
15877305	mood disorders	studies
1369574	catatonia	increased
21182888	schizoaffective disorder	reported
21939679	dementia	build
31404565	schizophrenia	expressed
11282814	schizophrenia	try
30336484	dementia	rent
33023226	restless legs syndrome	studies
17983671	autism spectrum disorder	order
25741905	neurodevelopmental disorders	try
17650397	dementia	forming
26178613	schizophrenia	changes
18063940	schizophrenia	respect
27797809	frontotemporal dementia	accompanied
31989779	dementia	led
21383324	dementia	decreased
27357507	alcohol dependence	expanded
25109596	alcohol withdrawal	reduces
3705993	schizophrenia	support
29472840	schizophrenia	described
29472840	schizophrenia	increased
22508959	dementia	uses
32507757	frontotemporal dementia	type
14503353	dementia	led
26272049	schizophrenia	binding
22147958	schizophrenia	thought
25524710	schizophrenia	studies
25524710	schizophrenia	rent
25524710	schizophrenia	reduced
25524710	schizophrenia	compared
25524710	schizophrenia	shared
25863357	schizophrenia	report
18833430	schizophrenia	review
25522392	schizophrenia	ground
25522392	schizophrenia	provided
25522392	schizophrenia	support
20826313	cocaine withdrawal	known
23995422	frontotemporal dementia	type
26515654	intellectual disability	order
32393757	schizophrenia	impaired
28827010	impulse control disorders	control
22454846	schizophrenia	follows
25948602	autism spectrum disorder	face
25948602	autism spectrum disorder	ring
18372313	dementia	made
18372313	dementia	following
15637638	schizophrenia	considered
11785031	dementia	report
26426329	neurodevelopmental disorders	act
24961945	dementia	state
27613508	schizophrenia	showed
11478418	catatonia	showed
28828225	opioid dependence	detect
26718607	schizophrenia	search
30519836	schizophrenia	present
30711314	schizophrenia	ground
30711314	schizophrenia	using
11320161	frontotemporal dementia	change
20600340	autism spectrum disorder	order
31642794	narcolepsy	ground
28576730	schizophrenia	changes
21503609	depressive disorders	support
29165654	schizophrenia	lying
29165654	schizophrenia	identify
29165654	schizophrenia	present
27382048	schizophrenia	ground
27382048	schizophrenia	produces
9634024	enuresis	cause
9634024	enuresis	type
32214250	schizophrenia	expressed
29107002	caffeine withdrawal	caused
16423332	dementia	related
19995583	schizophrenia	reported
31138892	dementia	tested
30105528	autism spectrum disorder	order
30105528	autism spectrum disorder	using
28165117	mood disorders	developing
20813075	dementia	ground
27453295	delirium	compared
24011847	schizophrenia	review
21951954	dementia	state
20153238	rem sleep behaviour disorder	sleep
3382320	schizophrenia	reported
26748091	schizophrenia	studies
26748091	schizophrenia	used
24075765	dementia	included
11483143	schizophrenia	ground
29953934	schizophrenia	searched
19818810	schizophrenia	used
17283282	schizophrenia	been
21646331	dementia	hold
21646331	dementia	offer
30255629	schizophrenia	include
30255629	schizophrenia	studies
30255629	schizophrenia	understanding
21615425	alcohol withdrawal	directed
12670058	dementia	state
31717998	dementia	type
28003467	schizophrenia	stress
25227564	schizophrenia	scale
19735928	catatonia	had
10725527	dementia	studies
10725527	schizophrenia	control
30836963	schizophrenia	type
29470055	schizophrenia	impaired
29470055	schizophrenia	studies
21334420	schizophrenia	known
23979606	schizophrenia	store
9667811	schizophrenia	presented
26290235	narcolepsy	caused
24381603	catatonia	induced
21408008	schizophrenia	led
21408008	schizophrenia	increase
12436385	frontotemporal dementia	learning
20571485	mood disorders	orders
9330979	dementia	proposed
3528007	delirium	grades
9924871	schizophrenia	shown
9924871	schizophrenia	thought
9924871	schizophrenia	occurring
9924871	schizophrenia	type
27181927	dementia	learning
25524955	dementia	had
21907761	frontotemporal dementia	bearing
31650254	dementia	set
26400857	obsessive-compulsive disorder	understanding
33097470	autism spectrum disorder	ground
29867648	schizophrenia	relates
25269883	mood disorders	led
31361772	schizophrenia	died
20179788	schizophrenia	implicate
26099949	dementia	showed
27461514	nicotine withdrawal	diminishes
9044382	schizophrenia	present
27693668	schizophrenia	ring
27693668	schizophrenia	propose
17639427	dementia	been
23098760	schizophrenia	observed
25601395	panic disorder	attacks
31948896	schizophrenia	orders
28828223	schizophrenia	acting
17942737	schizophrenia	drive
18833572	panic disorder	control
18833572	panic disorder	order
8083025	schizophrenia	proposed
30923348	neurodevelopmental disorders	rising
24315484	neurodevelopmental disorders	orders
7595181	dementia	determined
28763509	dementia	made
28763509	dementia	increase
29944857	intellectual disability	cause
24999658	dementia	studied
23182311	dementia	developed
29608645	dementia	classifying
29608645	dementia	observed
18805671	schizophrenia	correcting
16476668	schizophrenia	increased
32937121	autism spectrum disorder	studies
31376788	schizophrenia	controlled
29141007	mood disorders	orders
27117136	schizophrenia	orders
30479733	neurodevelopmental disorders	orders
26873041	autism spectrum disorder	order
8583235	dementia	studied
22285808	dementia	induced
14622919	schizophrenia	inputs
12048145	schizophrenia	studies
9803421	schizophrenia	damage
30351346	dementia	sets
22843264	dementia	need
26518023	nicotine dependence	test
11105660	mood disorders	following
10431775	dementia	determine
10431775	dementia	measures
10431775	dementia	does
21726554	impulse control disorders	been
23521775	panic attack	been
25656481	cocaine withdrawal	work
30979867	schizophrenia	treated
30611007	autism spectrum disorder	determine
24522332	autism spectrum disorder	order
28865406	schizophrenia	thought
20699106	schizophrenia	search
25619550	schizophrenia	seem
15922073	depressive disorders	suggest
21482548	schizophrenia	reduced
18178386	schizophrenia	observed
18178386	schizophrenia	observed
24151118	mood disorders	lights
31942622	dementia	related
28970574	intellectual disability	displayed
24332795	schizophrenia	contribute
24332795	schizophrenia	preserved
30132267	alcohol intoxication	search
24403157	schizophrenia	present
1005563	schizophrenia	impaired
30663473	panic attack	indicate
10986554	schizophrenia	suggest
24389156	autism spectrum disorder	order
21932359	schizophrenia	been
19732478	schizophrenia	ring
19732478	schizophrenia	ring
19732478	schizophrenia	differed
27884751	schizophrenia	ground
28039852	delirium	developing
18040792	dementia	had
19025236	alcohol dependence	divided
19460120	dementia	state
20732335	schizophrenia	produces
21237647	dementia	present
11488395	schizophrenia	controlled
7999345	dementia	including
23632456	schizophrenia	including
17008334	dementia	related
23582296	frontotemporal dementia	work
20851119	schizophrenia	use
29510928	schizophrenia	thought
28702350	mood disorders	showed
28702350	mood disorders	orders
6084823	dementia	type
30452973	schizophrenia	been
31067982	autism spectrum disorder	order
23956198	intellectual disability	includes
25256214	dementia	sample
29260380	autism spectrum disorder	order
18198268	schizophrenia	order
25904362	schizophrenia	observed
17369596	narcolepsy	sleep
17369596	narcolepsy	presented
12071513	mood disorders	play
31899366	dementia	compared
26778785	schizophrenia	measured
26539987	dementia	reduced
31143132	autism spectrum disorder	ground
17372984	schizophrenia	studies
12634477	panic disorder	increased
23070074	schizophrenia	measured
31983373	schizophrenia	classified
20889583	dementia	tested
20889583	dementia	indicate
31005575	schizophrenia	values
28966266	dementia	identify
1597689	pica	extended
26417778	schizophrenia	suggest
30870516	autism spectrum disorder	cause
30522798	schizophrenia	studies
25205331	neurodevelopmental disorders	suggesting
32027475	intellectual disability	include
30700699	autism spectrum disorder	been
31536280	delirium	present
22089319	schizophrenia	show
21464239	obsessive-compulsive disorder	related
29262472	autism spectrum disorder	conduct
28285734	schizophrenia	order
15229061	mood disorders	rest
15229061	mood disorders	studies
32853750	schizophrenia	been
21962378	mood disorders	been
12849366	narcolepsy	ache
21163316	schizophrenia	stem
19360855	schizophrenia	studies
23414669	dementia	set
26848839	schizophrenia	increased
23022470	schizophrenia	includes
14514506	schizophrenia	studies
14514506	schizophrenia	plays
14514506	schizophrenia	implicating
22781844	schizophrenia	present
29185023	dementia	state
25421402	autism spectrum disorder	copy
15763278	schizophrenia	been
27939829	schizophrenia	measure
24875175	schizophrenia	stems
28541374	dementia	increased
28541374	dementia	increased
22651577	schizophrenia	belong
26191000	frontotemporal dementia	converging
25878287	alcohol dependence	search
33296935	dementia	included
33296935	dementia	had
19165527	schizophrenia	working
19165527	schizophrenia	samples
27737532	frontotemporal dementia	had
26501174	autism spectrum disorder	present
29742910	schizophrenia	studying
33188830	schizophrenia	acts
33188830	schizophrenia	scale
26408506	schizophrenia	set
25034760	schizophrenia	explain
20052692	schizophrenia	search
29471549	schizophrenia	led
11904135	dementia	mixed
11904135	dementia	related
26861199	schizophrenia	rely
29153448	schizophrenia	been
23998279	dementia	work
22985694	schizophrenia	showed
29868444	dementia	changed
19501427	dementia	measured
24132763	dementia	included
23145075	dementia	contrast
2739175	schizophrenia	showed
24991170	dementia	scale
24991170	dementia	used
24991170	dementia	controls
17406237	attention deficit hyperactivity disorder	ask
16534206	dementia	had
24294718	depressive disorders	reviews
24046733	schizophrenia	order
17372969	schizophrenia	been
17884806	schizophrenia	controls
25468172	schizophrenia	found
32528322	nicotine withdrawal	scale
14613679	schizophrenia	thought
33381756	autism spectrum disorder	order
15698673	schizophrenia	present
15698673	schizophrenia	expressing
16879842	dementia	studies
14514495	schizophrenia	tested
14514495	schizophrenia	support
31290029	anorexia nervosa	changes
23828425	mood disorders	orders
2006691	dissociative disorders	improve
29740699	autism spectrum disorder	reported
