Behavioral domain	Definition	Source	Notes
		Laird et al (2011)	
Thirst	The need for liquid that causes a sensation of dryness in the mouth and throat.	BrainMap.org	
		Laird et al (2011)	
Vestibular	Awareness of pressure or fullness within the ear.	BrainMap.org	
		Laird et al (2011)	
Perception	The mental faculty of apprehending knowledge by means of the senses.	BrainMap.org	
		Laird et al (2011)	
Audition	The sense of hearing.	BrainMap.org	
		Laird et al (2011)	
Gustation	The sense of tasting.	BrainMap.org	
		Laird et al (2011)	
Olfaction	The sense of smelling.	BrainMap.org	
		Laird et al (2011)	
Somesthesis	The sensory systems associated with the skin, including touch, pressure, temperature and position. (Excluding sensing pain, which should be explicitly coded as Somesthesis.Pain).	BrainMap.org	
		Laird et al (2011)	
Somesthesis. Pain	The senses of bodily perception associated with an unpleasant sensation occurring in varying degrees of severity as a consequence of injury, disease, or emotional disorder	BrainMap.org	
		Laird et al (2011)	
Vision	The sense of sight.	BrainMap.org	
	(Only used for vision experiments which do not fall into Color, Motion or Shape.	Laird et al (2011)	
Vision. Color	The visual perception of the quality of an object or substance with respect to light reflected by the object, usually determined visually by measurement of hue, saturation, and brightness of the reflected light.	BrainMap.org	
		Laird et al (2011)	
Vision. Motion	The visual perception of the action or process of moving or of changing place or position.	BrainMap.org	
		Laird et al (2011)	
Vision. Shape	The visual perception of the quality of a distinct object in having an external surface or outline of specific form or figure.	BrainMap.org	
		Laird et al (2011)	
Vision. Remapping	The presaccadic change in visual sensitivity	Rao et al. (2016)	
Vision. Saccade	The rapid eye movements used to redirect gaze	Aizawa et al. (1998)	
Fingerprint	Distribution of cell density across cortical layers in the human primary visual cortex	Hudspeth et al.(1976)	
Hub	Network nodes with high functional connectivity	Tomasi et al.(2011)	
Central executive	An emergent property of multiple domain-specific processors operating interactively	Goldman-Rakic PS. (1996)	
Declarative memory	Conscious memory for events and facts	Kahn et al. (2008)	
Semantic memory	Refers to general world knowledge about objects, words, people, and facts 	Zhao et al.(2017)	
